player_name,position,team,proj_fpts,clean_name,depth_chart_order,search_rank,custom_rank,vorp,tier,rank
Rashee Rice,WR,KC,177.10000000000002,rashee rice,1.0,29.0,23.0,18.600000000000023,Tier 4,81
Nick Cross,DB,WAS,137.3375,nick cross,1.0,166.0,166.0,17.337500000000006,Tier 1,82
Kyle Hamilton,DB,BAL,136.91250000000002,kyle hamilton,1.0,123.0,123.0,16.912500000000023,Tier 1,83
Christian Watson,WR,GB,175.0,christian watson,1.0,64.0,43.0,16.5,Tier 5,84
Travis Kelce,TE,KC,200.10000000000002,travis kelce,1.0,89.0,49.5,16.350000000000023,Tier 5,85
Carson Schwesinger,LB,CLE,155.0875,carson schwesinger,1.0,99.0,99.0,16.212500000000006,Tier 2,86
Terry McLaurin,WR,WAS,174.50000000000003,terry mclaurin,1.0,53.0,40.5,16.00000000000003,Tier 5,87
Los Angeles Rams,DEF,LAR,210.0,los angeles rams,1.0,155.0,80.5,16.0,Tier 2,88
George Kittle,TE,SF,198.75,george kittle,1.0,83.0,47.5,15.0,Tier 5,89
Kam Curl,DB,LAR,133.25,kam curl,1.0,185.0,185.0,13.25,Tier 1,90
Jameson Williams,WR,DET,171.0,jameson williams,2.0,53.0,33.5,12.5,Tier 5,91
Philadelphia Eagles,DEF,PHI,206.0,philadelphia eagles,1.0,156.0,82.0,12.0,Tier 3,92
Kevin Byard,DB,NE,131.10000000000002,kevin byard,1.0,276.0,276.0,11.100000000000023,Tier 1,93
Nakobe Dean,LB,LV,149.6875,nakobe dean,1.0,162.0,162.0,10.8125,Tier 2,94
Nick Bolton,LB,KC,149.45,nick bolton,1.0,165.0,165.0,10.574999999999989,Tier 2,95
Dalton Kincaid,TE,BUF,193.8,dalton kincaid,1.0,81.0,47.0,10.050000000000011,Tier 5,96
Foyesade Oluokun,LB,JAX,148.8625,foyesade oluokun,1.0,149.0,149.0,9.987500000000011,Tier 2,97
