"id","first_name","last_name","team","position","pos","points","floor","ceiling","sd_pts","player_name"
"16287","Tre","Tucker","LVR","WR","WR",118.614418416967,109.418238096024,126.315649055436,8.08860791914339,"Tre Tucker"
"17514","De'Zhaun","Stribling","SFO","WR","WR",118.429123414273,32.5700626659724,153.466888570526,39.3610419500312,"De'Zhaun Stribling"
"13629","Calvin","Ridley","TEN","WR","WR",116.97937570518,75.6082935075236,160.176834933673,40.9750261117444,"Calvin Ridley"
"16628","Jalen","McMillan","TBB","WR","WR",113.445511991858,104.812556097461,118.25502396471,6.37536157700734,"Jalen McMillan"
"11222","Keenan","Allen","IND","WR","WR",111.028671125943,103.547506936631,130.785503456338,7.07797393322981,"Keenan Allen"
"14860","Jauan","Jennings","MIN","WR","WR",110.473253357698,84.5714238183648,143.47324735824,33.2582739446582,"Jauan Jennings"
"16684","Malik","Washington","MIA","WR","WR",107.468709713673,89.7664329326305,133.097242497086,3.83392474960376,"Malik Washington"
"17500","Denzel","Boston","CLE","WR","WR",107.396733678281,66.420437128126,134.983467848542,30.7347338465922,"Denzel Boston"
"15293","Rashod","Bateman","BAL","WR","WR",107.084621366517,86.9145878595032,126.715450907537,17.5719245184296,"Rashod Bateman"
"15786","Jalen","Nailor","LVR","WR","WR",105.629659782807,79.4890849151188,143.121787277421,16.0964591914339,"Jalen Nailor"
"17498","Jordyn","Tyson","NOS","WR","WR",100.458483790529,73.1290406219911,172.579874254794,25.6419557431534,"Jordyn Tyson"
"16626","Adonai","Mitchell","NYJ","WR","WR",97.6779613453057,78.4781339944573,123.479260477851,21.1337763920162,"Adonai Mitchell"
"16193","Kayshon","Boutte","HOU","WR","WR",97.5873447978208,63.7543992869205,151.040976781732,32.1496022882865,"Kayshon Boutte"
"16788","Devaughn","Vele","NOS","WR","WR",97.2835983815356,71.9291883834034,122.053783726773,24.791605081515,"Devaughn Vele"
"17074","Travis","Hunter","JAC","WR","WR",96.12358984377,75.4153640368831,116.88597785768,18.6961253611001,"Travis Hunter"
"16204","Tank","Dell","HOU","WR","WR",94.3427367364805,46.3787169729444,134.12890886686,19.5695247800124,"Tank Dell"
"13164","Cooper","Kupp","SEA","WR","WR",93.629889387815,81.2924166407439,120.839894631277,6.34365417885631,"Cooper Kupp"
"16201","Xavier","Hutchinson","HOU","WR","WR",89.8813433630848,58.5054911619535,111.09120483453,19.2218250873407,"Xavier Hutchinson"
"14122","Darius","Slayton","NYG","WR","WR",89.0302369500014,75.1833416746506,104.928734274133,16.8273617973413,"Darius Slayton"
"17503","Germie","Bernard","PIT","WR","WR",88.0175918679343,26.7095076462162,103.843914847462,6.4533301545748,"Germie Bernard"
"16778","Ryan","Flournoy","DAL","WR","WR",86.9092287815143,77.3775232108916,98.1738761008263,13.9176883679178,"Ryan Flournoy"
"16751","Bub","Means","NOS","WR","WR",86.3960483603914,86.3960483603914,86.3960483603914,NA,"Bub Means"
"17599","Caleb","Douglas","MIA","WR","WR",84.1589208280638,38.8083147086297,99.5992803629072,15.1548726991558,"Caleb Douglas"
"17072","Tre","Harris","LAC","WR","WR",83.432476692232,71.3217156018,133.881341907913,11.8176203533076,"Tre Harris"
"17080","Jaylin","Noel","HOU","WR","WR",81.9172199933348,68.1147227167681,93.0006264854069,13.2713962067215,"Jaylin Noel"
"17517","Ja'Kobi","Lane","BAL","WR","WR",81.6898803108219,18.2281626932825,128.983485752635,61.1111726931845,"Ja'Kobi Lane"
"16619","Troy","Franklin","DEN","WR","WR",80.365318458013,45.085,120.731049469108,40.7461192521358,"Troy Franklin"
"15787","Tyquan","Thornton","KCC","WR","WR",80.1656183524911,66.4787322158421,98.4252406577977,14.5183851788627,"Tyquan Thornton"
"15788","Jalen","Tolbert","MIA","WR","WR",79.9427692033851,69.2441429302238,128.878817280506,10.050925136636,"Jalen Tolbert"
"16639","Xavier","Legette","CAR","WR","WR",79.5847959220629,71.8899244744316,84.270708132055,4.13571735378236,"Xavier Legette"
"17157","Isaac","TeSlaa","DET","WR","WR",79.4109197753392,62.8860644592024,97.3020789711428,10.4109183993425,"Isaac TeSlaa"
"17506","Chris","Bell","MIA","WR","WR",78.5617772731491,48.1382892701323,101.954603174509,31.2971293460087,"Chris Bell"
"17502","Omar","Cooper Jr.","NYJ","WR","WR",76.0165879463595,47.372,131.022782530653,29.5697659811826,"Omar Cooper Jr."
"16195","Dontayvion","Wicks","PHI","WR","WR",75.8461260791664,64.1714499133893,91.0068502278343,12.602575615166,"Dontayvion Wicks"
"12785","Demarcus","Robinson","SFO","WR","WR",71.8411977909999,62.0662952068208,81.6161003751789,16.1025228570043,"Demarcus Robinson"
"17073","Elic","Ayomanor","TEN","WR","WR",71.8089002173728,26.84,112.558354669659,43.1183745316497,"Elic Ayomanor"
"16207","Andrei","Iosivas","CIN","WR","WR",71.4444489966448,51.0696423806399,87.0567217925027,22.004711870682,"Andrei Iosivas"
"17082","Pat","Bryant","DEN","WR","WR",69.474209442416,59.9797382952084,85.8530887814299,8.523259667051,"Pat Bryant"
"16617","Keon","Coleman","BUF","WR","WR",69.4703653859074,54.1123373051206,87.6771694155512,14.1752390294011,"Keon Coleman"
"13633","Christian","Kirk","SFO","WR","WR",67.9756016451747,31.22,114.280094820522,7.95414899999999,"Christian Kirk"
"15755","Jahan","Dotson","ATL","WR","WR",67.7215395423136,42.829,114.746270798203,24.2815676836227,"Jahan Dotson"
"17512","Antonio","Williams","WAS","WR","WR",66.61544050489,24.9481796767921,108.897955364704,59.0623131780127,"Antonio Williams"
"17706","Malik","Benson","LVR","WR","WR",64.9450444388167,38.7145044438817,91.1755844337517,43.2104428849896,"Malik Benson"
"17511","Malachi","Fields","NYG","WR","WR",63.9810964044845,24.27,127.341947056144,41.06802,"Malachi Fields"
"17171","Chimere","Dike","TEN","WR","WR",63.8894055202472,27.7,98.7132493748894,25.49530118646,"Chimere Dike"
"16189","Marvin","Mims","DEN","WR","WR",63.7836699989101,57.678366999891,69.8889729979292,10.0574691403841,"Marvin Mims"
"17078","Jack","Bech","LVR","WR","WR",61.8482618774867,41.1074470706386,86.3798780002607,20.7599430429002,"Jack Bech"
